주문번호,품목별 주문번호,총 주문금액,총 결제금액,상품번호,주문상품명,주문상품명(옵션포함),수량,판매가,수령인,수령인 휴대전화,주문자ID
20230206-0000001,20230206-0000001-01,244658,241658,5359,미니멀리스트 식기세트,"미니멀리스트 식기세트 (색상:화이트, 사이즈:M)",1,241658,양성훈,010-8462-5681,min***
20230206-0000001,20230206-0000001-02,225540,222540,1140,무선 핸디 청소기,"무선 핸디 청소기 (색상:차콜, 사이즈:M)",2,111270,백정남,010-1333-6759,hwa***
20230206-0000001,20230206-0000001-03,220430,217430,4631,오가닉 코튼 타월세트,"오가닉 코튼 타월세트 (색상:화이트, 사이즈:M)",1,217430,박보람,010-1526-1049,gim***
20230206-0000002,20230206-0000002-01,80100,77100,5809,데일리 캔버스 토트백,"데일리 캔버스 토트백 (색상:화이트, 사이즈:M)",2,38550,서윤서,010-9137-8246,seo***
20230206-0000002,20230206-0000002-02,610956,607956,5872,오가닉 코튼 타월세트,"오가닉 코튼 타월세트 (색상:화이트, 사이즈:L)",3,202652,김동현,010-2614-6298,qba***
20230206-0000002,20230206-0000002-03,144156,141156,5498,에코 프렌들리 가습기,"에코 프렌들리 가습기 (색상:화이트, 사이즈:S)",2,70578,이영식,010-1554-4598,ogi***
20230206-0000003,20230206-0000003-01,113717,110717,1532,무선 핸디 청소기,"무선 핸디 청소기 (색상:차콜, 사이즈:S)",1,110717,윤영철,010-1363-1883,iye***
20230206-0000003,20230206-0000003-02,91088,88088,1770,올라운드 세라믹 냄비,"올라운드 세라믹 냄비 (색상:화이트, 사이즈:L)",2,44044,심도윤,010-6779-9072,gye***
20230206-0000004,20230206-0000004-01,183174,180174,9295,스마트 에어 써큘레이터,"스마트 에어 써큘레이터 (색상:화이트, 사이즈:M)",2,90087,김영순,010-1197-3985,cha***
20230206-0000004,20230206-0000004-02,364624,361624,5532,프리미엄 리넨 앞치마,"프리미엄 리넨 앞치마 (색상:베이지, 사이즈:L)",2,180812,김상호,010-3677-9647,imi***
20230206-0000005,20230206-0000005-01,422022,419022,7840,프리미엄 리넨 앞치마,"프리미엄 리넨 앞치마 (색상:차콜, 사이즈:S)",3,139674,손동현,010-5413-6763,seo***
20230206-0000005,20230206-0000005-02,501519,498519,9094,오가닉 코튼 타월세트,"오가닉 코튼 타월세트 (색상:차콜, 사이즈:L)",3,166173,이정순,010-8716-8546,yeo***
20230206-0000006,20230206-0000006-01,31342,28342,4353,프리미엄 리넨 앞치마,"프리미엄 리넨 앞치마 (색상:베이지, 사이즈:L)",1,28342,조시우,010-4028-7612,seo***
20230206-0000007,20230206-0000007-01,363458,360458,1986,데일리 캔버스 토트백,"데일리 캔버스 토트백 (색상:베이지, 사이즈:S)",2,180229,이명숙,010-4317-3227,seu***
20230206-0000008,20230206-0000008-01,62404,59404,8029,우드 그레인 조리도구,"우드 그레인 조리도구 (색상:베이지, 사이즈:M)",1,59404,김지우,010-1134-2146,yun***
20230206-0000009,20230206-0000009-01,123102,120102,3157,우드 그레인 조리도구,"우드 그레인 조리도구 (색상:차콜, 사이즈:L)",3,40034,윤준서,010-9023-4483,ije***
20230206-0000010,20230206-0000010-01,191545,188545,1895,오가닉 코튼 타월세트,"오가닉 코튼 타월세트 (색상:화이트, 사이즈:S)",1,188545,정보람,010-8001-4430,xi***
20230206-0000010,20230206-0000010-02,390464,387464,6767,오가닉 코튼 타월세트,"오가닉 코튼 타월세트 (색상:베이지, 사이즈:S)",2,193732,김진우,010-6157-4723,pba***
20230206-0000011,20230206-0000011-01,488787,485787,9920,프리미엄 리넨 앞치마,"프리미엄 리넨 앞치마 (색상:베이지, 사이즈:M)",3,161929,박지혜,010-6544-3174,doy***
20230206-0000012,20230206-0000012-01,196752,193752,7636,프리미엄 리넨 앞치마,"프리미엄 리넨 앞치마 (색상:차콜, 사이즈:S)",1,193752,양하은,010-8914-2796,sun***
20230206-0000012,20230206-0000012-02,218447,215447,3678,올라운드 세라믹 냄비,"올라운드 세라믹 냄비 (색상:차콜, 사이즈:M)",1,215447,송성호,010-8180-1699,jiy***
20230206-0000013,20230206-0000013-01,365712,362712,1821,우드 그레인 조리도구,"우드 그레인 조리도구 (색상:화이트, 사이즈:S)",2,181356,김우진,010-5912-7036,jun***
20230206-0000014,20230206-0000014-01,321952,318952,7342,올라운드 세라믹 냄비,"올라운드 세라믹 냄비 (색상:차콜, 사이즈:L)",2,159476,김하윤,010-4287-4549,jeo***
20230206-0000014,20230206-0000014-02,184914,181914,5080,데일리 캔버스 토트백,"데일리 캔버스 토트백 (색상:화이트, 사이즈:S)",2,90957,서성호,010-3618-5402,jun***
20230206-0000015,20230206-0000015-01,315786,312786,9054,무선 핸디 청소기,"무선 핸디 청소기 (색상:화이트, 사이즈:M)",3,104262,장채원,010-2684-5646,jiu***
20230206-0000015,20230206-0000015-02,676371,673371,7007,올라운드 세라믹 냄비,"올라운드 세라믹 냄비 (색상:베이지, 사이즈:L)",3,224457,문경희,010-9054-4566,iji***
20230206-0000015,20230206-0000015-03,183550,180550,5574,프리미엄 리넨 앞치마,"프리미엄 리넨 앞치마 (색상:화이트, 사이즈:M)",2,90275,이영길,010-8186-2162,iye***
20230206-0000016,20230206-0000016-01,375090,372090,2929,미니멀리스트 식기세트,"미니멀리스트 식기세트 (색상:베이지, 사이즈:M)",3,124030,이미정,010-6799-8926,eun***
20230206-0000016,20230206-0000016-02,743973,740973,3714,오가닉 코튼 타월세트,"오가닉 코튼 타월세트 (색상:화이트, 사이즈:M)",3,246991,강준호,010-4319-6637,ngi***
20230206-0000016,20230206-0000016-03,367062,364062,3394,우드 그레인 조리도구,"우드 그레인 조리도구 (색상:차콜, 사이즈:L)",3,121354,최예은,010-6818-6272,yeo***
20230206-0000017,20230206-0000017-01,369948,366948,3482,데일리 캔버스 토트백,"데일리 캔버스 토트백 (색상:베이지, 사이즈:L)",2,183474,이영호,010-8206-5020,kyu***
20230206-0000018,20230206-0000018-01,106518,103518,1676,오가닉 코튼 타월세트,"오가닉 코튼 타월세트 (색상:베이지, 사이즈:M)",3,34506,차예진,010-8239-2853,sug***
20230206-0000018,20230206-0000018-02,51378,48378,2834,에코 프렌들리 가습기,"에코 프렌들리 가습기 (색상:화이트, 사이즈:L)",1,48378,홍도윤,010-3511-2350,pgi***
20230206-0000018,20230206-0000018-03,703986,700986,3834,올라운드 세라믹 냄비,"올라운드 세라믹 냄비 (색상:차콜, 사이즈:L)",3,233662,남미영,010-7851-8896,gim***
20230206-0000019,20230206-0000019-01,718362,715362,4457,올라운드 세라믹 냄비,"올라운드 세라믹 냄비 (색상:베이지, 사이즈:L)",3,238454,조준서,010-2755-1324,sub***
20230206-0000019,20230206-0000019-02,726546,723546,8538,데일리 캔버스 토트백,"데일리 캔버스 토트백 (색상:화이트, 사이즈:M)",3,241182,김서준,010-5244-1422,mis***
20230206-0000019,20230206-0000019-03,112188,109188,7468,미니멀리스트 식기세트,"미니멀리스트 식기세트 (색상:차콜, 사이즈:M)",1,109188,양옥자,010-4587-7624,eun***
20230206-0000020,20230206-0000020-01,699075,696075,6451,무선 핸디 청소기,"무선 핸디 청소기 (색상:베이지, 사이즈:M)",3,232025,한민수,010-2949-9180,bba***
20230206-0000020,20230206-0000020-02,147738,144738,8111,우드 그레인 조리도구,"우드 그레인 조리도구 (색상:차콜, 사이즈:S)",2,72369,김아름,010-5553-9043,oan***
